Country_Letter_code,Country,Continent
AFG,Afghanistan,Asia
ALB,Albania,Europe
DZA,Algeria,Africa
ARG,Argentina,South America
AUS,Australia,Oceania
AUT,Austria,Europe
BGD,Bangladesh,Asia
BEL,Belgium,Europe
BRA,Brazil,South America
CAN,Canada,North America
CHL,Chile,South America
CHN,China,Asia
COL,Colombia,South America
HRV,Croatia,Europe
CUB,Cuba,North America
CZE,Czech Republic,Europe
DNK,Denmark,Europe
EGY,Egypt,Africa
ETH,Ethiopia,Africa
FIN,Finland,Europe
FRA,France,Europe
DEU,Germany,Europe
GHA,Ghana,Africa
GRC,Greece,Europe
HUN,Hungary,Europe
IND,India,Asia
IDN,Indonesia,Asia
IRN,Iran,Asia
IRQ,Iraq,Asia
IRL,Ireland,Europe
ISR,Israel,Asia
ITA,Italy,Europe
JPN,Japan,Asia
KEN,Kenya,Africa
MYS,Malaysia,Asia
MEX,Mexico,North America
MAR,Morocco,Africa
NPL,Nepal,Asia
NLD,Netherlands,Europe
NZL,New Zealand,Oceania
NGA,Nigeria,Africa
NOR,Norway,Europe
PAK,Pakistan,Asia
PER,Peru,South America
PHL,Philippines,Asia
POL,Poland,Europe
PRT,Portugal,Europe
ROU,Romania,Europe
RUS,Russia,Europe
SAU,Saudi Arabia,Asia
KOR,South Korea,Asia
ESP,Spain,Europe
LKA,Sri Lanka,Asia
SWE,Sweden,Europe
CHE,Switzerland,Europe
SYR,Syria,Asia
TWN,Taiwan,Asia
TZA,Tanzania,Africa
THA,Thailand,Asia
TUN,Tunisia,Africa
TUR,Turkey,Asia
UGA,Uganda,Africa
UKR,Ukraine,Europe
ARE,United Arab Emirates,Asia
GBR,United Kingdom,Europe
USA,United States,North America
URY,Uruguay,South America
VEN,Venezuela,South America
VNM,Vietnam,Asia
YEM,Yemen,Asia
ZMB,Zambia,Africa
ZWE,Zimbabwe,Africa
ECU,Ecuador,South America
SLV,El Salvador,North America
EST,Estonia,Europe
